Full Name,Gender,Enrollment Status,Program of Study / Major,Enrollment Date,Graduation Date,County,University Enrolled
Joseph Nyambura,Male,Not Enrolled,Mechanical Engineering,2024-07-17,,Machakos,Egerton University
Joseph Odhiambo,Male,Not Enrolled,Business Administration,2020-01-12,,Nairobi,JKUAT
Peter Karanja,Male,Not Enrolled,Nursing,2023-03-19,,Nyeri,Egerton University
Daniel Mwangi,Male,Enrolled,Computer Science,2023-06-06,2025-06-05,Meru,JKUAT
Mary Nyambura,Female,Withdrawn,Business Administration,2023-07-03,,Kisumu,Moi University
Mary Odhiambo,Female,Not Enrolled,Computer Science,2022-01-23,,Meru,Kenyatta University
Samuel Otieno,Male,Enrolled,Business Administration,2021-10-29,2024-10-28,Kiambu,Moi University
Emily Njeri,Female,Enrolled,Psychology,2023-03-05,2025-03-04,Kisumu,Moi University
Elizabeth Achieng,Female,Enrolled,Education,2022-06-08,2027-06-07,Nairobi,Kenyatta University
Peter Karanja,Male,Not Enrolled,Education,2018-01-16,,Nyeri,Moi University
Luke Karanja,Male,Not Enrolled,Mechanical Engineering,2019-02-26,,Nakuru,Moi University
Daniel Otieno,Male,Withdrawn,Computer Science,2020-02-15,,Kisumu,JKUAT
Sarah Otieno,Female,Not Enrolled,Business Administration,2018-12-23,,Kiambu,Moi University
Esther Nyambura,Female,Enrolled,Law,2021-06-23,2026-06-22,Mombasa,Kenyatta University
Grace Kariuki,Female,Not Enrolled,Computer Science,2022-05-24,,Nairobi,JKUAT
Jane Otieno,Female,Not Enrolled,Business Administration,2023-07-06,,Meru,University of Nairobi
Luke Karanja,Male,Not Enrolled,Business Administration,2024-02-14,,Nairobi,JKUAT
Joseph Mwangi,Male,Not Enrolled,Nursing,2018-03-24,,Kiambu,JKUAT
Lucy Odhiambo,Female,Enrolled,Computer Science,2020-07-06,2024-07-05,Machakos,Moi University
David Nyambura,Male,Enrolled,Psychology,2020-10-07,2026-10-06,Kisumu,JKUAT
Grace Achieng,Female,Enrolled,Mechanical Engineering,2019-10-03,2022-10-02,Kiambu,University of Nairobi
Daniel Karanja,Male,Enrolled,Psychology,2020-03-29,2023-03-29,Kisumu,Moi University
James Njeri,Male,Withdrawn,Psychology,2021-07-09,,Nairobi,Moi University
Jane Mwangi,Female,Not Enrolled,Education,2020-08-02,,Machakos,Egerton University
Emily Kariuki,Female,Not Enrolled,Business Administration,2019-05-31,,Nyeri,University of Nairobi
James Nyambura,Male,Not Enrolled,Computer Science,2024-10-08,,Nairobi,Egerton University
Alice Kariuki,Female,Withdrawn,Psychology,2024-11-23,,Kiambu,Kenyatta University
Elizabeth Wambui,Female,Enrolled,Psychology,2020-07-26,2026-07-25,Nakuru,Egerton University
Grace Wambui,Female,Withdrawn,Nursing,2023-01-29,,Kiambu,Kenyatta University
Lucy Otieno,Female,Withdrawn,Psychology,2023-11-23,,Nairobi,University of Nairobi
Elizabeth Wambui,Female,Enrolled,Business Administration,2020-07-05,2026-07-04,Kisumu,Egerton University
Sarah Karanja,Female,Withdrawn,Mechanical Engineering,2023-07-23,,Nyeri,Egerton University
John Odhiambo,Male,Not Enrolled,Nursing,2019-11-09,,Nairobi,Kenyatta University
Jane Karanja,Female,Not Enrolled,Law,2018-09-05,,Kisumu,Kenyatta University
Luke Karanja,Male,Not Enrolled,Psychology,2020-02-20,,Nakuru,JKUAT
Luke Kariuki,Male,Enrolled,Computer Science,2022-12-10,2023-12-10,Kiambu,Egerton University
Peter Kariuki,Male,Withdrawn,Business Administration,2023-12-30,,Nyeri,Egerton University
Peter Otieno,Male,Withdrawn,Mechanical Engineering,2022-03-03,,Mombasa,University of Nairobi
James Nyambura,Male,Not Enrolled,Law,2022-01-11,,Kiambu,Kenyatta University
David Wambui,Male,Enrolled,Education,2020-07-14,2023-07-14,Nyeri,University of Nairobi
Daniel Odhiambo,Male,Withdrawn,Psychology,2021-05-31,,Kisumu,University of Nairobi
Jane Mwangi,Female,Withdrawn,Business Administration,2018-04-21,,Kiambu,Moi University
Michael Kariuki,Male,Enrolled,Computer Science,2022-09-28,2028-09-26,Kiambu,University of Nairobi
Wangari Achieng,Female,Not Enrolled,Education,2023-10-12,,Mombasa,Kenyatta University
Elizabeth Achieng,Female,Enrolled,Computer Science,2024-07-24,2026-07-24,Machakos,University of Nairobi
Alice Nyambura,Female,Enrolled,Psychology,2020-04-27,2026-04-26,Nakuru,Kenyatta University
Grace Kariuki,Female,Withdrawn,Education,2020-09-14,,Mombasa,JKUAT
Sarah Achieng,Female,Withdrawn,Business Administration,2022-12-14,,Mombasa,Egerton University
Richard Wambui,Male,Withdrawn,Nursing,2023-07-26,,Kisumu,Moi University
Jane Kariuki,Female,Enrolled,Psychology,2020-09-22,2024-09-21,Kiambu,JKUAT
Daniel Kariuki,Male,Enrolled,Computer Science,2023-02-17,2024-02-17,Machakos,Moi University
Sarah Njeri,Female,Withdrawn,Nursing,2021-12-30,,Nakuru,Moi University
Wangari Nyambura,Female,Not Enrolled,Law,2022-01-23,,Nakuru,Kenyatta University
Luke Odhiambo,Male,Not Enrolled,Nursing,2023-05-16,,Nakuru,JKUAT
Daniel Njeri,Male,Withdrawn,Law,2021-12-29,,Machakos,Egerton University
John Otieno,Male,Not Enrolled,Mechanical Engineering,2020-04-23,,Nyeri,Kenyatta University
John Mwangi,Male,Enrolled,Law,2020-08-15,2021-08-15,Nyeri,Egerton University
Sarah Odhiambo,Female,Enrolled,Mechanical Engineering,2022-05-27,2026-05-26,Kisumu,JKUAT
Grace Njeri,Female,Enrolled,Business Administration,2022-10-30,2023-10-30,Mombasa,University of Nairobi
Luke Wambui,Male,Not Enrolled,Nursing,2023-10-09,,Mombasa,University of Nairobi
John Karanja,Male,Withdrawn,Psychology,2024-03-17,,Meru,Egerton University
Grace Kariuki,Female,Enrolled,Psychology,2021-04-08,2024-04-07,Meru,University of Nairobi
Luke Achieng,Male,Not Enrolled,Nursing,2021-08-13,,Machakos,Egerton University
Wangari Otieno,Female,Withdrawn,Computer Science,2022-08-20,,Mombasa,Moi University
Grace Njeri,Female,Not Enrolled,Psychology,2024-06-27,,Nakuru,Kenyatta University
Esther Njeri,Female,Not Enrolled,Business Administration,2018-10-15,,Machakos,University of Nairobi
Peter Mwangi,Male,Withdrawn,Nursing,2019-10-31,,Machakos,University of Nairobi
Samuel Kariuki,Male,Withdrawn,Law,2023-09-20,,Nairobi,Moi University
James Kariuki,Male,Not Enrolled,Education,2022-02-12,,Nakuru,Kenyatta University
Elizabeth Kariuki,Female,Withdrawn,Mechanical Engineering,2023-06-11,,Meru,JKUAT
Lucy Achieng,Female,Enrolled,Mechanical Engineering,2022-08-03,2024-08-02,Nyeri,University of Nairobi
David Njeri,Male,Not Enrolled,Nursing,2022-01-15,,Nakuru,University of Nairobi
Grace Odhiambo,Female,Withdrawn,Computer Science,2019-05-15,,Nakuru,JKUAT
Grace Kariuki,Female,Enrolled,Mechanical Engineering,2023-06-01,2024-05-31,Mombasa,JKUAT
Richard Kariuki,Male,Enrolled,Computer Science,2022-11-29,2027-11-28,Nairobi,Egerton University
John Njeri,Male,Enrolled,Law,2020-03-12,2023-03-12,Nakuru,University of Nairobi
Michael Kariuki,Male,Withdrawn,Nursing,2020-06-08,,Kiambu,Moi University
Richard Mwangi,Male,Enrolled,Psychology,2023-09-21,2026-09-20,Meru,Egerton University
Richard Achieng,Male,Withdrawn,Education,2022-08-12,,Kiambu,Egerton University
Michael Odhiambo,Male,Withdrawn,Business Administration,2023-11-12,,Kisumu,Kenyatta University
Elizabeth Mwangi,Female,Enrolled,Nursing,2021-11-02,2024-11-01,Mombasa,JKUAT
Lucy Karanja,Female,Not Enrolled,Business Administration,2023-10-21,,Nyeri,JKUAT
Emily Odhiambo,Female,Enrolled,Computer Science,2019-10-29,2021-10-28,Kiambu,Moi University
Mary Mwangi,Female,Enrolled,Law,2021-08-31,2023-08-31,Mombasa,University of Nairobi
Samuel Kariuki,Male,Not Enrolled,Mechanical Engineering,2020-08-29,,Machakos,Moi University
Joseph Kariuki,Male,Not Enrolled,Law,2020-11-29,,Nairobi,JKUAT
Esther Njeri,Female,Not Enrolled,Psychology,2022-06-28,,Machakos,Kenyatta University
James Karanja,Male,Enrolled,Law,2019-12-18,2020-12-17,Nairobi,JKUAT
Grace Karanja,Female,Not Enrolled,Mechanical Engineering,2021-05-13,,Kisumu,JKUAT
Michael Achieng,Male,Enrolled,Mechanical Engineering,2018-09-27,2024-09-25,Mombasa,JKUAT
Lucy Kariuki,Female,Not Enrolled,Business Administration,2024-10-30,,Nakuru,Egerton University
Esther Achieng,Female,Withdrawn,Law,2021-03-17,,Nairobi,JKUAT
Emily Otieno,Female,Not Enrolled,Computer Science,2019-05-11,,Machakos,Moi University
James Nyambura,Male,Not Enrolled,Nursing,2020-03-24,,Nyeri,University of Nairobi
Sarah Nyambura,Female,Enrolled,Education,2020-05-26,2023-05-26,Nakuru,University of Nairobi
Wangari Wambui,Female,Not Enrolled,Law,2018-08-08,,Mombasa,JKUAT
James Achieng,Male,Withdrawn,Computer Science,2019-10-12,,Machakos,Moi University
Alice Otieno,Female,Not Enrolled,Business Administration,2019-04-10,,Meru,Kenyatta University
Richard Wambui,Male,Enrolled,Nursing,2022-11-11,2023-11-11,Kisumu,University of Nairobi
Alice Achieng,Female,Enrolled,Education,2022-12-02,2023-12-02,Meru,JKUAT
Samuel Nyambura,Male,Not Enrolled,Nursing,2018-09-13,,Kisumu,Moi University
Daniel Mwangi,Male,Enrolled,Business Administration,2024-09-27,2030-09-26,Kisumu,Egerton University
Elizabeth Wambui,Female,Enrolled,Education,2023-09-26,2024-09-25,Kiambu,University of Nairobi
Esther Kariuki,Female,Not Enrolled,Computer Science,2023-10-02,,Kisumu,Kenyatta University
Luke Nyambura,Male,Withdrawn,Law,2018-09-23,,Kisumu,University of Nairobi
Daniel Kariuki,Male,Not Enrolled,Education,2023-06-06,,Machakos,JKUAT
Jane Njeri,Female,Withdrawn,Education,2018-03-23,,Machakos,Moi University
Luke Odhiambo,Male,Withdrawn,Business Administration,2021-12-25,,Nairobi,University of Nairobi
Mary Nyambura,Female,Withdrawn,Computer Science,2018-04-22,,Mombasa,University of Nairobi
Grace Achieng,Female,Enrolled,Psychology,2019-12-05,2023-12-04,Nairobi,Kenyatta University
Daniel Nyambura,Male,Not Enrolled,Computer Science,2020-05-18,,Nakuru,Moi University
Sarah Achieng,Female,Enrolled,Computer Science,2024-03-20,2025-03-20,Nairobi,Moi University
Daniel Nyambura,Male,Withdrawn,Education,2021-03-13,,Kisumu,JKUAT
Daniel Njeri,Male,Withdrawn,Computer Science,2022-04-13,,Kiambu,Egerton University
James Mwangi,Male,Enrolled,Education,2020-06-08,2022-06-08,Nairobi,Moi University
Peter Wambui,Male,Enrolled,Mechanical Engineering,2018-12-04,2019-12-04,Mombasa,Egerton University
Samuel Wambui,Male,Not Enrolled,Law,2023-11-01,,Kisumu,Moi University
Lucy Wambui,Female,Not Enrolled,Mechanical Engineering,2022-10-26,,Machakos,Kenyatta University
Samuel Nyambura,Male,Enrolled,Nursing,2020-10-23,2024-10-22,Nyeri,Egerton University
John Otieno,Male,Withdrawn,Mechanical Engineering,2019-07-05,,Kisumu,Egerton University
James Wambui,Male,Withdrawn,Law,2020-04-18,,Kiambu,Egerton University
Joseph Achieng,Male,Not Enrolled,Business Administration,2023-05-11,,Kiambu,University of Nairobi
Alice Nyambura,Female,Enrolled,Psychology,2019-06-24,2024-06-22,Meru,University of Nairobi
Elizabeth Nyambura,Female,Enrolled,Computer Science,2018-07-27,2022-07-26,Mombasa,University of Nairobi
Richard Nyambura,Male,Withdrawn,Business Administration,2019-04-05,,Machakos,JKUAT
Wangari Otieno,Female,Enrolled,Computer Science,2022-01-13,2027-01-12,Machakos,Moi University
Elizabeth Karanja,Female,Enrolled,Law,2020-07-09,2025-07-08,Kiambu,Moi University
Peter Karanja,Male,Withdrawn,Computer Science,2019-02-12,,Nakuru,JKUAT
Samuel Wambui,Male,Enrolled,Psychology,2023-12-14,2026-12-13,Nakuru,JKUAT
Daniel Nyambura,Male,Not Enrolled,Business Administration,2022-09-03,,Kiambu,University of Nairobi
James Odhiambo,Male,Withdrawn,Law,2024-10-27,,Machakos,Moi University
Luke Kariuki,Male,Withdrawn,Business Administration,2024-06-24,,Nyeri,JKUAT
Michael Wambui,Male,Withdrawn,Business Administration,2018-08-06,,Nyeri,Egerton University
Sarah Odhiambo,Female,Enrolled,Mechanical Engineering,2020-04-28,2026-04-27,Mombasa,Moi University
Elizabeth Otieno,Female,Not Enrolled,Business Administration,2019-12-17,,Meru,Egerton University
Jane Karanja,Female,Enrolled,Nursing,2019-02-07,2021-02-06,Nyeri,JKUAT
Luke Njeri,Male,Not Enrolled,Education,2019-12-31,,Machakos,Moi University
James Wambui,Male,Not Enrolled,Nursing,2018-04-30,,Kiambu,JKUAT
Jane Odhiambo,Female,Withdrawn,Mechanical Engineering,2021-09-05,,Mombasa,University of Nairobi
Daniel Odhiambo,Male,Not Enrolled,Mechanical Engineering,2020-02-20,,Kiambu,JKUAT
Daniel Kariuki,Male,Enrolled,Computer Science,2020-12-24,2024-12-23,Kiambu,Egerton University
James Mwangi,Male,Not Enrolled,Nursing,2023-07-09,,Nyeri,Kenyatta University
Esther Achieng,Female,Withdrawn,Computer Science,2018-08-06,,Machakos,JKUAT
Esther Njeri,Female,Withdrawn,Education,2022-01-27,,Machakos,Moi University
Joseph Achieng,Male,Enrolled,Law,2018-06-04,2022-06-03,Machakos,Kenyatta University
Michael Mwangi,Male,Enrolled,Psychology,2023-06-19,2026-06-18,Nakuru,Egerton University
Alice Mwangi,Female,Withdrawn,Nursing,2021-05-23,,Kiambu,Kenyatta University
David Njeri,Male,Enrolled,Mechanical Engineering,2019-03-09,2021-03-08,Kiambu,Kenyatta University
Wangari Njeri,Female,Enrolled,Psychology,2019-02-14,2025-02-12,Nairobi,University of Nairobi
Emily Karanja,Female,Not Enrolled,Mechanical Engineering,2024-07-14,,Kiambu,JKUAT
Jane Karanja,Female,Not Enrolled,Mechanical Engineering,2023-06-03,,Kisumu,Egerton University
Lucy Mwangi,Female,Withdrawn,Law,2022-04-24,,Nakuru,University of Nairobi
Jane Odhiambo,Female,Not Enrolled,Computer Science,2023-02-04,,Mombasa,Moi University
John Odhiambo,Male,Enrolled,Business Administration,2018-12-03,2020-12-02,Kisumu,University of Nairobi
Grace Otieno,Female,Withdrawn,Nursing,2021-05-21,,Meru,University of Nairobi
David Wambui,Male,Withdrawn,Education,2018-10-09,,Nairobi,Egerton University
Daniel Achieng,Male,Not Enrolled,Education,2020-07-25,,Nyeri,Moi University
James Mwangi,Male,Enrolled,Education,2019-12-24,2024-12-22,Meru,Egerton University
Samuel Kariuki,Male,Enrolled,Business Administration,2024-03-26,2027-03-26,Nyeri,Egerton University
Mary Karanja,Female,Not Enrolled,Computer Science,2023-12-08,,Mombasa,Egerton University
John Achieng,Male,Not Enrolled,Business Administration,2018-11-30,,Kiambu,Kenyatta University
Emily Njeri,Female,Not Enrolled,Psychology,2022-02-08,,Nakuru,JKUAT
Elizabeth Njeri,Female,Withdrawn,Mechanical Engineering,2024-10-02,,Machakos,Egerton University
Jane Achieng,Female,Not Enrolled,Nursing,2020-06-28,,Kiambu,Moi University
Emily Wambui,Female,Not Enrolled,Computer Science,2023-02-05,,Nairobi,Egerton University
Alice Achieng,Female,Not Enrolled,Law,2022-06-29,,Machakos,Egerton University
Esther Mwangi,Female,Enrolled,Law,2018-02-06,2024-02-05,Meru,Kenyatta University
Sarah Kariuki,Female,Not Enrolled,Law,2023-08-28,,Meru,Egerton University
Alice Karanja,Female,Withdrawn,Psychology,2018-05-10,,Kisumu,Kenyatta University
Jane Wambui,Female,Enrolled,Mechanical Engineering,2023-08-17,2028-08-15,Meru,University of Nairobi
Emily Odhiambo,Female,Withdrawn,Law,2022-01-25,,Mombasa,Moi University
Richard Kariuki,Male,Withdrawn,Computer Science,2018-07-31,,Nakuru,Egerton University
Sarah Mwangi,Female,Not Enrolled,Law,2022-06-17,,Nyeri,Kenyatta University
Samuel Mwangi,Male,Withdrawn,Mechanical Engineering,2021-05-24,,Nakuru,Kenyatta University
Richard Karanja,Male,Withdrawn,Business Administration,2023-05-12,,Kiambu,Kenyatta University
Lucy Odhiambo,Female,Enrolled,Mechanical Engineering,2021-02-14,2027-02-13,Kisumu,University of Nairobi
Jane Kariuki,Female,Withdrawn,Education,2023-08-30,,Kisumu,University of Nairobi
David Njeri,Male,Not Enrolled,Computer Science,2018-12-04,,Machakos,Egerton University
Lucy Achieng,Female,Enrolled,Psychology,2024-11-26,2025-11-26,Nairobi,Moi University
Peter Odhiambo,Male,Not Enrolled,Nursing,2018-02-21,,Kisumu,University of Nairobi
Emily Nyambura,Female,Enrolled,Mechanical Engineering,2023-12-27,2029-12-25,Machakos,Moi University
Sarah Njeri,Female,Enrolled,Computer Science,2019-12-13,2025-12-11,Kiambu,University of Nairobi
Mary Mwangi,Female,Withdrawn,Business Administration,2024-09-18,,Nakuru,Kenyatta University
Esther Karanja,Female,Not Enrolled,Law,2020-02-24,,Kisumu,JKUAT
Alice Odhiambo,Female,Enrolled,Business Administration,2023-06-07,2025-06-06,Meru,JKUAT
Jane Njeri,Female,Withdrawn,Computer Science,2023-10-11,,Nyeri,University of Nairobi
Emily Kariuki,Female,Enrolled,Nursing,2023-01-23,2029-01-21,Mombasa,University of Nairobi
Mary Kariuki,Female,Enrolled,Nursing,2018-11-15,2022-11-14,Machakos,Moi University
David Njeri,Male,Enrolled,Nursing,2021-10-28,2026-10-27,Mombasa,Moi University
Mary Mwangi,Female,Not Enrolled,Law,2024-01-13,,Nakuru,University of Nairobi
Luke Kariuki,Male,Withdrawn,Computer Science,2019-01-13,,Nairobi,Kenyatta University
Lucy Odhiambo,Female,Withdrawn,Nursing,2022-03-29,,Nakuru,Egerton University
Luke Wambui,Male,Enrolled,Business Administration,2023-07-19,2026-07-18,Mombasa,Moi University
Elizabeth Achieng,Female,Not Enrolled,Education,2019-02-08,,Nairobi,University of Nairobi
Alice Mwangi,Female,Enrolled,Law,2020-12-07,2021-12-07,Nakuru,JKUAT
David Wambui,Male,Withdrawn,Education,2018-06-28,,Nakuru,University of Nairobi
Michael Otieno,Male,Withdrawn,Mechanical Engineering,2019-03-06,,Nyeri,Kenyatta University
Luke Karanja,Male,Withdrawn,Education,2019-02-14,,Meru,Egerton University
Peter Kariuki,Male,Not Enrolled,Education,2023-10-04,,Nairobi,Moi University
Michael Wambui,Male,Withdrawn,Law,2019-06-24,,Nyeri,Moi University
David Wambui,Male,Not Enrolled,Education,2023-04-27,,Mombasa,Moi University
James Otieno,Male,Enrolled,Law,2021-04-01,2027-03-31,Kisumu,Moi University
Michael Otieno,Male,Enrolled,Nursing,2022-09-18,2025-09-17,Mombasa,JKUAT
Jane Mwangi,Female,Withdrawn,Education,2022-04-28,,Kiambu,Moi University
Richard Nyambura,Male,Not Enrolled,Business Administration,2023-07-20,,Mombasa,Kenyatta University
Mary Njeri,Female,Withdrawn,Business Administration,2020-01-13,,Meru,Egerton University
Mary Achieng,Female,Withdrawn,Business Administration,2019-01-03,,Nakuru,Egerton University
Richard Njeri,Male,Not Enrolled,Mechanical Engineering,2019-05-02,,Nairobi,University of Nairobi
Richard Mwangi,Male,Enrolled,Computer Science,2022-08-26,2027-08-25,Nairobi,Moi University
Daniel Wambui,Male,Enrolled,Computer Science,2021-02-24,2024-02-24,Nairobi,University of Nairobi
Elizabeth Kariuki,Female,Withdrawn,Business Administration,2024-04-23,,Machakos,Egerton University
Jane Odhiambo,Female,Withdrawn,Education,2022-10-23,,Nakuru,JKUAT
Elizabeth Wambui,Female,Withdrawn,Business Administration,2021-12-23,,Kiambu,Moi University
Luke Karanja,Male,Not Enrolled,Nursing,2023-04-08,,Nakuru,JKUAT
David Odhiambo,Male,Enrolled,Psychology,2020-01-26,2023-01-25,Kiambu,Egerton University
John Odhiambo,Male,Enrolled,Nursing,2024-05-15,2030-05-14,Machakos,Egerton University
Jane Kariuki,Female,Enrolled,Law,2020-04-21,2025-04-20,Nakuru,Kenyatta University
Daniel Odhiambo,Male,Enrolled,Psychology,2023-05-22,2025-05-21,Nyeri,JKUAT
James Karanja,Male,Not Enrolled,Computer Science,2019-07-03,,Kiambu,University of Nairobi
Grace Otieno,Female,Not Enrolled,Business Administration,2021-11-08,,Nyeri,Kenyatta University
Emily Achieng,Female,Withdrawn,Law,2022-12-08,,Kiambu,Egerton University
Peter Odhiambo,Male,Withdrawn,Nursing,2024-08-18,,Meru,Kenyatta University
Michael Otieno,Male,Enrolled,Law,2020-02-17,2022-02-16,Machakos,Egerton University
Lucy Karanja,Female,Enrolled,Computer Science,2024-12-01,2028-11-30,Machakos,University of Nairobi
Grace Nyambura,Female,Enrolled,Law,2023-06-21,2026-06-20,Nyeri,Kenyatta University
Jane Karanja,Female,Enrolled,Education,2023-02-13,2027-02-12,Nyeri,University of Nairobi
Samuel Mwangi,Male,Not Enrolled,Mechanical Engineering,2018-04-04,,Nakuru,Kenyatta University
Luke Otieno,Male,Enrolled,Computer Science,2023-01-27,2027-01-26,Meru,University of Nairobi
Mary Odhiambo,Female,Not Enrolled,Law,2023-08-13,,Nakuru,University of Nairobi
Joseph Mwangi,Male,Not Enrolled,Law,2022-09-20,,Machakos,Moi University
Peter Karanja,Male,Enrolled,Business Administration,2023-06-14,2025-06-13,Machakos,University of Nairobi
Lucy Nyambura,Female,Enrolled,Law,2020-06-02,2025-06-01,Mombasa,Moi University
Richard Wambui,Male,Enrolled,Education,2022-06-07,2023-06-07,Nakuru,University of Nairobi
Lucy Achieng,Female,Enrolled,Law,2021-09-07,2024-09-06,Meru,University of Nairobi
Luke Odhiambo,Male,Withdrawn,Nursing,2018-10-29,,Machakos,Kenyatta University
Samuel Kariuki,Male,Withdrawn,Law,2023-04-10,,Meru,JKUAT
Luke Mwangi,Male,Enrolled,Nursing,2021-11-05,2026-11-04,Kisumu,University of Nairobi
Wangari Odhiambo,Female,Withdrawn,Nursing,2019-03-17,,Kisumu,Moi University
Alice Achieng,Female,Enrolled,Computer Science,2023-01-02,2027-01-01,Nakuru,Kenyatta University
David Odhiambo,Male,Enrolled,Mechanical Engineering,2023-02-16,2025-02-15,Nyeri,Moi University
David Otieno,Male,Not Enrolled,Mechanical Engineering,2024-03-31,,Machakos,Kenyatta University
Luke Otieno,Male,Withdrawn,Education,2019-01-12,,Kisumu,Kenyatta University
Michael Njeri,Male,Not Enrolled,Psychology,2021-07-21,,Nyeri,JKUAT
Michael Mwangi,Male,Withdrawn,Psychology,2023-05-23,,Nyeri,University of Nairobi
David Odhiambo,Male,Withdrawn,Psychology,2021-11-22,,Meru,University of Nairobi
Richard Odhiambo,Male,Enrolled,Mechanical Engineering,2018-09-01,2022-08-31,Nairobi,University of Nairobi
Peter Odhiambo,Male,Withdrawn,Computer Science,2020-01-18,,Nairobi,University of Nairobi
Samuel Otieno,Male,Withdrawn,Nursing,2022-03-08,,Nairobi,University of Nairobi
John Karanja,Male,Not Enrolled,Mechanical Engineering,2022-07-07,,Nakuru,University of Nairobi
Grace Njeri,Female,Withdrawn,Nursing,2024-09-11,,Machakos,Moi University
Joseph Nyambura,Male,Withdrawn,Business Administration,2021-01-20,,Nakuru,JKUAT
James Kariuki,Male,Not Enrolled,Business Administration,2018-04-06,,Machakos,University of Nairobi
Sarah Karanja,Female,Enrolled,Computer Science,2021-11-09,2026-11-08,Nairobi,Kenyatta University
Luke Kariuki,Male,Withdrawn,Law,2021-05-04,,Nakuru,Kenyatta University
Grace Mwangi,Female,Enrolled,Nursing,2018-08-07,2022-08-06,Kisumu,JKUAT
James Kariuki,Male,Not Enrolled,Business Administration,2019-05-24,,Nyeri,Egerton University
Daniel Kariuki,Male,Not Enrolled,Business Administration,2019-07-22,,Nyeri,Moi University
Michael Njeri,Male,Not Enrolled,Psychology,2023-05-09,,Mombasa,Moi University
Esther Wambui,Female,Enrolled,Mechanical Engineering,2020-07-25,2024-07-24,Kiambu,JKUAT
John Mwangi,Male,Not Enrolled,Mechanical Engineering,2019-05-05,,Machakos,JKUAT
Samuel Njeri,Male,Not Enrolled,Business Administration,2020-04-09,,Kiambu,University of Nairobi
Jane Njeri,Female,Not Enrolled,Law,2023-05-08,,Kiambu,Moi University
Esther Odhiambo,Female,Enrolled,Business Administration,2024-11-30,2025-11-30,Nakuru,Egerton University
Alice Kariuki,Female,Withdrawn,Computer Science,2023-02-05,,Nyeri,JKUAT
Jane Kariuki,Female,Not Enrolled,Psychology,2023-08-19,,Mombasa,Moi University
Wangari Mwangi,Female,Enrolled,Computer Science,2018-12-28,2022-12-27,Machakos,Moi University
Michael Karanja,Male,Not Enrolled,Education,2022-04-25,,Nyeri,JKUAT
Michael Wambui,Male,Enrolled,Law,2022-10-09,2024-10-08,Nyeri,Egerton University
Wangari Odhiambo,Female,Withdrawn,Computer Science,2018-10-20,,Kiambu,Kenyatta University
John Odhiambo,Male,Not Enrolled,Psychology,2021-08-17,,Nakuru,University of Nairobi
Jane Nyambura,Female,Withdrawn,Nursing,2019-04-10,,Mombasa,Kenyatta University
Wangari Wambui,Female,Withdrawn,Education,2022-03-31,,Kisumu,Moi University
James Nyambura,Male,Not Enrolled,Computer Science,2024-08-10,,Kisumu,Egerton University
Alice Odhiambo,Female,Withdrawn,Nursing,2024-03-07,,Kiambu,University of Nairobi
Grace Achieng,Female,Withdrawn,Psychology,2018-01-17,,Kiambu,University of Nairobi
Lucy Otieno,Female,Not Enrolled,Psychology,2023-09-21,,Kisumu,Kenyatta University
Richard Nyambura,Male,Enrolled,Nursing,2020-05-06,2024-05-05,Nairobi,University of Nairobi
Elizabeth Nyambura,Female,Withdrawn,Nursing,2024-12-01,,Machakos,Kenyatta University
Elizabeth Mwangi,Female,Not Enrolled,Mechanical Engineering,2018-02-11,,Mombasa,University of Nairobi
David Achieng,Male,Withdrawn,Nursing,2020-10-02,,Nyeri,University of Nairobi
Lucy Nyambura,Female,Not Enrolled,Mechanical Engineering,2021-07-06,,Kisumu,Kenyatta University
Samuel Njeri,Male,Withdrawn,Mechanical Engineering,2023-12-14,,Nyeri,Moi University
Peter Nyambura,Male,Not Enrolled,Nursing,2020-10-09,,Nyeri,Moi University
Esther Odhiambo,Female,Enrolled,Mechanical Engineering,2023-07-11,2026-07-10,Nakuru,JKUAT
Joseph Mwangi,Male,Not Enrolled,Business Administration,2024-03-13,,Nairobi,Egerton University
Samuel Otieno,Male,Withdrawn,Law,2022-07-18,,Nairobi,University of Nairobi
Elizabeth Mwangi,Female,Enrolled,Education,2023-04-11,2025-04-10,Machakos,Kenyatta University
Luke Achieng,Male,Withdrawn,Business Administration,2024-07-08,,Kisumu,Egerton University
John Wambui,Male,Not Enrolled,Mechanical Engineering,2024-07-25,,Kisumu,Egerton University
Mary Karanja,Female,Not Enrolled,Education,2020-10-14,,Nairobi,JKUAT
Grace Karanja,Female,Withdrawn,Law,2018-04-18,,Nairobi,Moi University
James Kariuki,Male,Not Enrolled,Computer Science,2022-08-06,,Meru,University of Nairobi
Luke Mwangi,Male,Not Enrolled,Nursing,2019-05-11,,Mombasa,Kenyatta University
Luke Mwangi,Male,Withdrawn,Mechanical Engineering,2023-10-10,,Nyeri,Egerton University
John Njeri,Male,Enrolled,Computer Science,2018-07-20,2020-07-19,Nyeri,Egerton University
Jane Nyambura,Female,Not Enrolled,Psychology,2023-10-17,,Nairobi,Egerton University
Mary Njeri,Female,Withdrawn,Education,2019-08-30,,Machakos,JKUAT
Samuel Odhiambo,Male,Not Enrolled,Nursing,2020-12-23,,Nairobi,JKUAT
Samuel Karanja,Male,Enrolled,Computer Science,2023-04-01,2029-03-30,Machakos,Egerton University
