Full Name,ID No,Gender,Enrollment Date,Program of Study,Course Code,Semester,Grade,GPA,Cumulative GPA,Course Status,Academic Standing
Peter Otieno,S72292640,Male,2023-06-08,Nursing,BIO150,Fall 2023,C+,3.4,2.74,Withdrawn,Suspended
Jane Karanja,S75390666,Female,2021-09-05,Nursing,CS101,Fall 2023,D+,3.72,3.23,Failed,Good Standing
Samuel Karanja,S45959156,Male,2023-11-27,Psychology,ENGR301,Spring 2024,A,1.53,2.38,Failed,Probation
Lucy Kariuki,S42142962,Female,2020-05-03,Computer Science,MATH250,Fall 2024,B+,2.39,2.38,Failed,Good Standing
John Kariuki,S86358715,Male,2020-10-12,Education,PSY201,Spring 2024,D+,3.28,2.83,Completed,Suspended
Michael Nyambura,S84566816,Male,2024-12-23,Nursing,PSY201,Fall 2023,D,2.44,2.63,Withdrawn,Probation
Richard Odhiambo,S15716876,Male,2023-04-07,Psychology,MATH250,Fall 2023,A,1.95,2.29,Withdrawn,Good Standing
Peter Karanja,S68867344,Male,2019-02-04,Education,PSY201,Spring 2024,A,1.58,1.94,Completed,Probation
Peter Achieng,S58078853,Male,2022-09-03,Nursing,BIO150,Summer 2024,C,1.43,1.69,Failed,Probation
Mary Njeri,S68299918,Female,2019-04-06,Business Administration,CS101,Spring 2024,D+,1.45,1.57,Completed,Probation
Lucy Otieno,S89461628,Female,2022-07-15,Education,CS101,Summer 2024,C,3.56,2.56,Failed,Suspended
Samuel Wambui,S21864410,Male,2018-02-22,Business Administration,ECON150,Summer 2024,A,2.36,2.46,Withdrawn,Probation
Samuel Mwangi,S59070619,Male,2021-05-30,Nursing,LAW102,Fall 2024,D+,3.09,2.77,Failed,Suspended
Esther Njeri,S26511719,Female,2023-08-22,Business Administration,ENGR301,Fall 2024,B,2.1,2.44,Withdrawn,Good Standing
Wangari Njeri,S98642812,Female,2020-07-09,Business Administration,MATH250,Spring 2024,C,3.6,3.02,Withdrawn,Suspended
Grace Otieno,S27164369,Female,2024-01-19,Mechanical Engineering,BIO150,Spring 2024,C+,1.01,2.02,Failed,Suspended
Grace Wambui,S44856889,Female,2018-02-23,Nursing,CS101,Fall 2023,A,1.2,1.61,Withdrawn,Good Standing
Sarah Wambui,S34886045,Female,2018-09-03,Mechanical Engineering,CS101,Fall 2024,C,3.92,2.77,Withdrawn,Suspended
Lucy Karanja,S70957432,Female,2018-10-29,Computer Science,CS101,Spring 2024,C,2.95,2.86,Withdrawn,Probation
Emily Kariuki,S15323868,Female,2023-09-22,Computer Science,PSY201,Spring 2024,D+,1.79,2.33,Completed,Suspended
Elizabeth Wambui,S31033024,Female,2021-02-13,Education,ECON150,Spring 2024,A,2.04,2.19,Withdrawn,Suspended
Jane Nyambura,S20548109,Female,2019-06-14,Psychology,ECON150,Summer 2024,F,3.29,2.74,Failed,Suspended
Esther Njeri,S86537901,Female,2019-02-14,Law,LAW102,Fall 2024,B,2.54,2.64,Completed,Suspended
Samuel Achieng,S99646460,Male,2019-02-27,Nursing,BIO150,Fall 2023,F,3.41,3.03,Failed,Good Standing
Michael Odhiambo,S29438979,Male,2021-12-03,Education,LAW102,Summer 2024,D,3.33,3.18,Failed,Good Standing
Michael Njeri,S21482102,Male,2024-02-13,Mechanical Engineering,MATH250,Fall 2023,A,3.71,3.45,Completed,Suspended
Elizabeth Njeri,S26980750,Female,2021-01-30,Psychology,PSY201,Fall 2024,D,3.12,3.29,Failed,Probation
Daniel Kariuki,S76740082,Male,2022-07-19,Mechanical Engineering,MATH250,Spring 2024,B,3.93,3.61,Failed,Probation
Esther Achieng,S66249228,Female,2022-01-07,Computer Science,PSY201,Summer 2024,A,1.23,2.42,Completed,Good Standing
Elizabeth Mwangi,S80362224,Female,2019-12-05,Mechanical Engineering,ENGR301,Fall 2024,D,1.26,1.84,Failed,Probation
Lucy Wambui,S22608730,Female,2020-10-12,Nursing,ECON150,Spring 2024,D,1.73,1.79,Completed,Suspended
Emily Karanja,S25408958,Female,2022-10-20,Business Administration,ENGR301,Summer 2024,A,2.17,1.98,Completed,Suspended
Michael Wambui,S85882442,Male,2022-05-19,Education,ECON150,Fall 2024,B,2.27,2.12,Completed,Good Standing
Mary Achieng,S73008368,Female,2019-04-15,Psychology,ENGR301,Fall 2023,B,2.64,2.38,Withdrawn,Probation
Elizabeth Karanja,S38400503,Female,2020-02-25,Mechanical Engineering,CS101,Spring 2024,B,1.28,1.83,Failed,Suspended
Jane Odhiambo,S15087723,Female,2020-01-05,Mechanical Engineering,ECON150,Fall 2023,A,3.73,2.78,Failed,Suspended
Alice Odhiambo,S22611269,Female,2021-04-25,Computer Science,MATH250,Summer 2024,B+,2.68,2.73,Failed,Probation
Daniel Achieng,S64975909,Male,2024-06-05,Education,LAW102,Summer 2024,D+,2.91,2.82,Withdrawn,Suspended
James Mwangi,S10112889,Male,2024-04-19,Business Administration,BIO150,Fall 2024,B,2.08,2.45,Completed,Probation
Grace Mwangi,S20027608,Female,2024-05-29,Psychology,BIO150,Fall 2023,B+,1.62,2.04,Completed,Good Standing
Michael Otieno,S11218671,Male,2020-04-11,Business Administration,LAW102,Spring 2024,C,3.68,2.86,Failed,Probation
David Kariuki,S10307323,Male,2021-04-06,Nursing,ECON150,Summer 2024,B,1.53,2.19,Failed,Good Standing
Jane Odhiambo,S99967372,Female,2018-06-06,Business Administration,ECON150,Summer 2024,D+,1.04,1.61,Withdrawn,Suspended
Alice Mwangi,S55555627,Female,2018-10-05,Computer Science,MATH250,Fall 2023,C,2.82,2.21,Withdrawn,Suspended
Emily Njeri,S71531725,Female,2021-09-12,Mechanical Engineering,MATH250,Fall 2023,D+,2.89,2.55,Failed,Suspended
Esther Achieng,S10900268,Female,2021-01-12,Law,MATH250,Spring 2024,B+,3.04,2.79,Completed,Good Standing
Alice Mwangi,S23148184,Female,2021-03-09,Computer Science,LAW102,Fall 2023,C+,3.43,3.11,Withdrawn,Probation
Daniel Kariuki,S67217957,Male,2020-12-27,Computer Science,ECON150,Spring 2024,F,1.95,2.53,Failed,Probation
Richard Wambui,S57600987,Male,2021-02-19,Mechanical Engineering,PSY201,Summer 2024,F,3.51,3.02,Withdrawn,Suspended
Samuel Mwangi,S27658280,Male,2021-10-09,Psychology,BIO150,Spring 2024,C,1.18,2.1,Completed,Probation
Peter Karanja,S49994238,Male,2019-06-25,Law,MATH250,Fall 2024,F,3.24,2.67,Failed,Suspended
Daniel Kariuki,S45537899,Male,2021-01-05,Law,MATH250,Spring 2024,F,3.99,3.33,Failed,Probation
Emily Njeri,S52950501,Female,2022-03-02,Computer Science,BIO150,Spring 2024,C+,2.0,2.67,Failed,Probation
Michael Mwangi,S50518483,Male,2020-05-25,Computer Science,CS101,Fall 2024,F,2.91,2.79,Failed,Good Standing
John Mwangi,S90701174,Male,2020-12-21,Mechanical Engineering,MATH250,Summer 2024,A,1.96,2.38,Withdrawn,Good Standing
Peter Karanja,S62079670,Male,2019-05-20,Computer Science,LAW102,Fall 2024,F,1.68,2.03,Withdrawn,Suspended
Michael Achieng,S76018216,Male,2021-07-08,Computer Science,BIO150,Spring 2024,F,3.59,2.81,Failed,Probation
James Achieng,S45678164,Male,2021-11-21,Computer Science,ECON150,Spring 2024,C+,1.38,2.09,Completed,Probation
Jane Wambui,S15194284,Female,2021-04-11,Computer Science,MATH250,Spring 2024,B,3.88,2.98,Failed,Good Standing
Lucy Wambui,S84224105,Female,2019-05-14,Psychology,ECON150,Fall 2024,C+,1.92,2.45,Withdrawn,Suspended
Daniel Odhiambo,S47375920,Male,2019-01-09,Business Administration,ENGR301,Summer 2024,D,2.24,2.35,Failed,Probation
Alice Nyambura,S85070742,Female,2021-10-11,Law,LAW102,Fall 2024,B,3.22,2.79,Completed,Probation
Wangari Nyambura,S25506745,Female,2020-11-14,Psychology,CS101,Spring 2024,C+,2.54,2.67,Withdrawn,Suspended
John Kariuki,S33654663,Male,2018-01-17,Education,ENGR301,Fall 2024,D+,1.88,2.27,Completed,Good Standing
Peter Achieng,S43788168,Male,2019-08-29,Nursing,ENGR301,Fall 2024,C+,3.05,2.66,Withdrawn,Suspended
Lucy Odhiambo,S99199248,Female,2024-10-10,Nursing,ECON150,Fall 2024,B+,2.96,2.81,Failed,Suspended
Esther Mwangi,S96288212,Female,2020-03-10,Business Administration,LAW102,Fall 2024,B,3.02,2.92,Completed,Good Standing
Luke Odhiambo,S15456901,Male,2022-10-17,Computer Science,BIO150,Spring 2024,A,2.94,2.93,Completed,Probation
James Otieno,S40439005,Male,2021-01-28,Education,BIO150,Fall 2024,D+,2.84,2.88,Withdrawn,Probation
Esther Njeri,S42396560,Female,2018-10-08,Mechanical Engineering,PSY201,Summer 2024,A,2.95,2.92,Withdrawn,Probation
Elizabeth Kariuki,S16915150,Female,2018-09-03,Mechanical Engineering,MATH250,Summer 2024,D+,1.43,2.17,Withdrawn,Good Standing
Elizabeth Nyambura,S23009822,Female,2022-10-31,Business Administration,MATH250,Spring 2024,B+,3.71,2.94,Withdrawn,Probation
Grace Otieno,S22136696,Female,2021-11-01,Law,BIO150,Fall 2023,B,2.5,2.72,Completed,Good Standing
John Njeri,S95965268,Male,2019-05-11,Nursing,ECON150,Fall 2023,C,2.96,2.84,Failed,Good Standing
Esther Njeri,S98892025,Female,2022-11-06,Education,ECON150,Spring 2024,C,2.6,2.72,Failed,Suspended
David Wambui,S85422285,Male,2021-06-24,Education,CS101,Spring 2024,D+,1.54,2.13,Failed,Suspended
Emily Otieno,S76076823,Female,2024-05-17,Nursing,ENGR301,Fall 2023,A,3.45,2.79,Failed,Good Standing
Elizabeth Karanja,S94994691,Female,2018-11-02,Computer Science,ECON150,Summer 2024,A,3.86,3.33,Failed,Probation
Esther Otieno,S94324034,Female,2024-06-18,Mechanical Engineering,BIO150,Fall 2024,C,3.54,3.44,Withdrawn,Probation
Mary Nyambura,S18175781,Female,2020-12-09,Business Administration,ECON150,Spring 2024,F,3.39,3.42,Failed,Probation
Peter Wambui,S43857442,Male,2021-05-20,Education,LAW102,Summer 2024,A,2.01,2.71,Completed,Good Standing
John Achieng,S49594772,Male,2022-08-20,Education,PSY201,Summer 2024,D,1.33,2.02,Withdrawn,Probation
Joseph Mwangi,S75560601,Male,2020-12-13,Law,MATH250,Spring 2024,C,3.33,2.67,Withdrawn,Suspended
Jane Nyambura,S78891320,Female,2024-08-23,Mechanical Engineering,LAW102,Fall 2023,D,2.77,2.72,Failed,Good Standing
Wangari Odhiambo,S34257239,Female,2023-07-04,Law,PSY201,Fall 2023,C+,1.22,1.97,Completed,Good Standing
Luke Odhiambo,S42045547,Male,2023-11-06,Law,ENGR301,Spring 2024,C,1.48,1.73,Withdrawn,Good Standing
Wangari Achieng,S47759861,Female,2018-01-14,Education,LAW102,Fall 2023,D+,1.34,1.54,Completed,Good Standing
Emily Karanja,S89500201,Female,2023-10-28,Law,ECON150,Summer 2024,B+,2.85,2.2,Completed,Probation
David Achieng,S61048331,Male,2021-09-29,Education,BIO150,Fall 2024,B,2.59,2.4,Failed,Good Standing
Lucy Njeri,S15497347,Female,2019-02-05,Law,MATH250,Fall 2023,C+,3.43,2.92,Failed,Suspended
Luke Wambui,S36131125,Male,2024-04-25,Education,CS101,Summer 2024,C+,1.02,1.97,Completed,Probation
Daniel Otieno,S10878655,Male,2021-05-09,Business Administration,MATH250,Summer 2024,C,1.87,1.92,Failed,Probation
Mary Wambui,S39983102,Female,2019-10-18,Business Administration,BIO150,Fall 2023,A,1.36,1.64,Failed,Probation
Daniel Odhiambo,S84467994,Male,2021-07-19,Psychology,MATH250,Fall 2024,C+,2.04,1.84,Completed,Probation
Michael Achieng,S22321613,Male,2024-01-19,Business Administration,BIO150,Summer 2024,B+,3.67,2.75,Withdrawn,Suspended
Samuel Karanja,S47193876,Male,2022-07-28,Psychology,ECON150,Fall 2023,C+,1.48,2.12,Withdrawn,Suspended
Jane Karanja,S68573916,Female,2018-05-07,Psychology,LAW102,Summer 2024,F,1.15,1.64,Withdrawn,Probation
Richard Odhiambo,S90549401,Male,2022-05-15,Mechanical Engineering,ENGR301,Spring 2024,D,1.39,1.51,Completed,Probation
Esther Nyambura,S18826284,Female,2020-11-11,Law,CS101,Fall 2023,B,2.87,2.19,Failed,Probation
Emily Njeri,S48373783,Female,2023-06-02,Nursing,LAW102,Spring 2024,C,2.73,2.46,Withdrawn,Suspended
Alice Karanja,S66051302,Female,2019-11-22,Computer Science,PSY201,Fall 2023,D+,3.93,3.2,Completed,Suspended
Wangari Otieno,S73860114,Female,2019-09-23,Law,BIO150,Summer 2024,C+,2.37,2.79,Withdrawn,Probation
Daniel Odhiambo,S94740317,Male,2020-06-03,Computer Science,ENGR301,Spring 2024,F,3.23,3.01,Failed,Good Standing
John Mwangi,S69679661,Male,2019-05-22,Education,MATH250,Fall 2023,F,1.09,2.05,Failed,Probation
Daniel Otieno,S26681663,Male,2024-02-22,Psychology,CS101,Fall 2023,F,1.07,1.56,Completed,Good Standing
Jane Wambui,S92494893,Female,2019-02-12,Mechanical Engineering,LAW102,Fall 2023,F,2.8,2.18,Failed,Probation
Mary Odhiambo,S99371715,Female,2019-12-07,Nursing,ENGR301,Summer 2024,B,3.54,2.86,Failed,Suspended
Mary Nyambura,S83457552,Female,2023-12-10,Education,LAW102,Summer 2024,F,1.63,2.25,Withdrawn,Probation
Mary Kariuki,S87655841,Female,2021-07-26,Law,CS101,Spring 2024,C+,2.66,2.46,Failed,Probation
Joseph Odhiambo,S41999671,Male,2018-05-08,Psychology,CS101,Spring 2024,C,1.79,2.12,Withdrawn,Suspended
Sarah Odhiambo,S41113146,Female,2019-10-05,Nursing,BIO150,Fall 2023,C+,3.56,2.84,Withdrawn,Probation
Joseph Odhiambo,S20154646,Male,2024-11-05,Psychology,PSY201,Fall 2024,F,2.05,2.44,Completed,Suspended
Michael Otieno,S46493917,Male,2018-12-03,Computer Science,CS101,Fall 2024,F,3.41,2.92,Completed,Suspended
James Karanja,S99100433,Male,2022-03-11,Mechanical Engineering,BIO150,Spring 2024,B+,2.92,2.92,Completed,Good Standing
Esther Nyambura,S68873340,Female,2020-08-02,Mechanical Engineering,ENGR301,Spring 2024,F,2.65,2.79,Failed,Suspended
Wangari Mwangi,S10495871,Female,2020-08-21,Education,ENGR301,Fall 2023,C+,3.94,3.37,Completed,Probation
Wangari Achieng,S77863632,Female,2018-02-13,Mechanical Engineering,CS101,Spring 2024,B+,3.23,3.3,Failed,Good Standing
David Mwangi,S81644882,Male,2023-05-14,Law,ECON150,Fall 2024,D+,1.64,2.47,Withdrawn,Suspended
Michael Nyambura,S38977637,Male,2019-05-17,Mechanical Engineering,BIO150,Spring 2024,F,3.51,2.99,Completed,Suspended
Joseph Karanja,S84022402,Male,2024-06-01,Psychology,CS101,Spring 2024,D,1.73,2.36,Failed,Probation
Elizabeth Njeri,S73302431,Female,2020-04-16,Computer Science,ECON150,Spring 2024,C,3.83,3.09,Failed,Suspended
Michael Odhiambo,S82948264,Male,2019-03-08,Mechanical Engineering,BIO150,Summer 2024,D,3.46,3.27,Withdrawn,Probation
Grace Otieno,S57059068,Female,2021-06-16,Law,MATH250,Fall 2023,F,2.86,3.06,Completed,Probation
Peter Mwangi,S56059778,Male,2021-12-22,Mechanical Engineering,CS101,Fall 2024,D,3.14,3.1,Withdrawn,Probation
Peter Wambui,S62757243,Male,2021-01-25,Nursing,ENGR301,Fall 2023,D,1.52,2.31,Withdrawn,Suspended
Mary Mwangi,S27989792,Female,2022-10-28,Nursing,MATH250,Summer 2024,A,2.0,2.16,Completed,Probation
Wangari Wambui,S84048593,Female,2018-10-18,Computer Science,ECON150,Summer 2024,C,1.09,1.62,Withdrawn,Good Standing
John Mwangi,S57203306,Male,2018-05-28,Business Administration,LAW102,Fall 2024,B,1.15,1.39,Withdrawn,Good Standing
John Mwangi,S74630528,Male,2018-03-26,Nursing,ECON150,Fall 2024,F,2.0,1.69,Withdrawn,Suspended
John Odhiambo,S13790171,Male,2019-07-14,Psychology,ENGR301,Fall 2023,F,2.05,1.87,Failed,Probation
Jane Wambui,S41218543,Female,2024-04-12,Business Administration,ECON150,Fall 2024,A,2.83,2.35,Withdrawn,Good Standing
Sarah Kariuki,S14404472,Female,2021-03-12,Mechanical Engineering,ENGR301,Fall 2023,D,3.51,2.93,Withdrawn,Suspended
Luke Odhiambo,S46764433,Male,2020-11-22,Nursing,CS101,Spring 2024,C+,2.51,2.72,Completed,Probation
James Kariuki,S75425634,Male,2019-06-09,Law,ENGR301,Fall 2024,D+,3.85,3.29,Failed,Good Standing
Wangari Wambui,S72680245,Female,2023-08-31,Business Administration,PSY201,Fall 2024,C,2.94,3.12,Failed,Good Standing
Richard Karanja,S71869342,Male,2018-08-11,Computer Science,PSY201,Fall 2023,F,1.26,2.19,Completed,Good Standing
Wangari Otieno,S24828362,Female,2023-10-29,Psychology,PSY201,Summer 2024,D,1.41,1.8,Completed,Probation
Richard Wambui,S64341352,Male,2024-08-29,Business Administration,BIO150,Fall 2023,B,2.19,2.0,Failed,Probation
Alice Achieng,S78640183,Female,2021-10-21,Law,PSY201,Fall 2024,A,2.85,2.42,Completed,Suspended
Mary Njeri,S28402167,Female,2018-07-09,Computer Science,ECON150,Spring 2024,A,1.34,1.88,Withdrawn,Good Standing
Jane Otieno,S65675453,Female,2019-06-18,Psychology,CS101,Summer 2024,D,2.55,2.21,Failed,Suspended
Elizabeth Otieno,S75858555,Female,2020-10-09,Education,MATH250,Summer 2024,F,3.16,2.69,Failed,Good Standing
Esther Odhiambo,S18408299,Female,2023-03-20,Education,CS101,Fall 2024,D,3.49,3.09,Withdrawn,Suspended
Lucy Achieng,S93633579,Female,2022-01-27,Psychology,BIO150,Summer 2024,B+,3.03,3.06,Withdrawn,Good Standing
Alice Odhiambo,S56267696,Female,2020-07-01,Education,ECON150,Fall 2023,C+,3.2,3.13,Completed,Probation
Joseph Wambui,S67458384,Male,2024-07-12,Law,CS101,Summer 2024,B+,1.22,2.17,Completed,Probation
John Otieno,S83837015,Male,2021-09-28,Mechanical Engineering,PSY201,Fall 2023,C,2.53,2.35,Failed,Probation
Lucy Otieno,S28772472,Female,2020-07-17,Computer Science,MATH250,Spring 2024,F,3.72,3.04,Withdrawn,Suspended
Richard Kariuki,S30133637,Male,2022-08-31,Education,ECON150,Fall 2023,D,2.11,2.58,Withdrawn,Suspended
James Wambui,S70217623,Male,2020-02-10,Psychology,ECON150,Summer 2024,D+,1.48,2.03,Failed,Probation
Wangari Otieno,S17423943,Female,2023-12-26,Business Administration,BIO150,Summer 2024,A,2.43,2.23,Withdrawn,Suspended
Samuel Karanja,S39211268,Male,2021-04-24,Business Administration,ENGR301,Spring 2024,C+,3.37,2.8,Withdrawn,Suspended
John Mwangi,S40917548,Male,2021-09-26,Mechanical Engineering,CS101,Fall 2023,D+,2.52,2.66,Completed,Suspended
Wangari Nyambura,S14824562,Female,2022-04-20,Psychology,LAW102,Summer 2024,B,2.88,2.77,Completed,Probation
Elizabeth Njeri,S75282012,Female,2018-04-20,Business Administration,ENGR301,Fall 2023,A,2.78,2.77,Completed,Probation
Daniel Wambui,S85453735,Male,2022-06-10,Psychology,PSY201,Fall 2024,B+,1.39,2.08,Withdrawn,Probation
Joseph Nyambura,S71565981,Male,2019-08-27,Business Administration,ECON150,Fall 2024,C+,1.55,1.81,Completed,Suspended
Lucy Kariuki,S33710131,Female,2020-08-10,Business Administration,CS101,Summer 2024,C+,2.84,2.33,Withdrawn,Suspended
Elizabeth Kariuki,S70979483,Female,2018-10-31,Mechanical Engineering,CS101,Fall 2023,A,2.6,2.46,Completed,Good Standing
Wangari Nyambura,S69509167,Female,2023-10-26,Business Administration,CS101,Spring 2024,A,1.7,2.08,Withdrawn,Good Standing
Alice Nyambura,S80279085,Female,2018-06-12,Nursing,MATH250,Summer 2024,C,3.29,2.69,Withdrawn,Probation
Michael Nyambura,S31995349,Male,2018-03-23,Computer Science,ECON150,Fall 2023,B+,1.65,2.17,Failed,Probation
Michael Wambui,S15275400,Male,2024-01-22,Computer Science,ENGR301,Spring 2024,C,3.75,2.96,Withdrawn,Good Standing
Joseph Njeri,S23777664,Male,2022-09-10,Business Administration,CS101,Spring 2024,A,1.02,1.99,Completed,Suspended
Lucy Karanja,S60231113,Female,2024-12-12,Mechanical Engineering,MATH250,Summer 2024,A,2.64,2.31,Failed,Suspended
Peter Mwangi,S49121677,Male,2018-04-27,Business Administration,MATH250,Summer 2024,C+,3.99,3.15,Failed,Suspended
Alice Odhiambo,S56584519,Female,2021-12-09,Law,MATH250,Fall 2024,D,2.3,2.72,Completed,Probation
Daniel Njeri,S91776624,Male,2024-06-10,Mechanical Engineering,ECON150,Summer 2024,D,2.36,2.54,Completed,Probation
Emily Achieng,S70826210,Female,2018-12-31,Psychology,BIO150,Fall 2024,D,3.17,2.85,Completed,Suspended
Wangari Odhiambo,S77598739,Female,2022-03-07,Psychology,CS101,Fall 2023,C,2.96,2.91,Failed,Good Standing
Lucy Nyambura,S73172743,Female,2022-05-22,Mechanical Engineering,BIO150,Fall 2024,B+,1.35,2.13,Withdrawn,Good Standing
Esther Njeri,S26752978,Female,2021-08-05,Nursing,CS101,Fall 2023,A,3.79,2.96,Failed,Probation
James Nyambura,S69028302,Male,2019-01-15,Psychology,BIO150,Spring 2024,D,3.31,3.13,Failed,Suspended
Lucy Mwangi,S85535613,Female,2020-10-13,Mechanical Engineering,PSY201,Fall 2024,D,2.13,2.63,Withdrawn,Suspended
Jane Njeri,S53922217,Female,2020-11-19,Business Administration,PSY201,Fall 2023,C,3.02,2.83,Withdrawn,Probation
James Odhiambo,S54069196,Male,2023-04-16,Mechanical Engineering,BIO150,Fall 2023,C+,1.19,2.01,Failed,Good Standing
Esther Karanja,S66133957,Female,2022-12-03,Law,MATH250,Spring 2024,A,3.71,2.86,Completed,Suspended
Samuel Njeri,S98643884,Male,2018-03-29,Mechanical Engineering,LAW102,Spring 2024,F,3.15,3.0,Withdrawn,Good Standing
Richard Njeri,S89887928,Male,2023-03-13,Computer Science,LAW102,Spring 2024,C,1.97,2.48,Failed,Good Standing
Alice Mwangi,S64523077,Female,2018-04-29,Psychology,PSY201,Fall 2023,C,2.69,2.58,Completed,Suspended
Wangari Odhiambo,S52222706,Female,2021-06-18,Business Administration,MATH250,Fall 2024,B,3.7,3.14,Withdrawn,Good Standing
Michael Nyambura,S15047055,Male,2019-03-29,Education,MATH250,Fall 2023,D,2.65,2.9,Withdrawn,Suspended
Wangari Odhiambo,S80035419,Female,2018-04-24,Computer Science,ENGR301,Fall 2023,B+,2.02,2.46,Completed,Suspended
Esther Otieno,S42871875,Female,2020-12-27,Business Administration,LAW102,Spring 2024,C+,1.87,2.17,Completed,Suspended
James Mwangi,S40004295,Male,2020-04-02,Law,MATH250,Spring 2024,C,1.47,1.82,Withdrawn,Suspended
Esther Wambui,S88306245,Female,2023-12-09,Psychology,ENGR301,Fall 2023,B,2.7,2.26,Withdrawn,Good Standing
Joseph Mwangi,S93299198,Male,2019-02-17,Psychology,ENGR301,Spring 2024,A,3.92,3.09,Failed,Good Standing
Esther Nyambura,S39548727,Female,2020-08-09,Business Administration,PSY201,Fall 2024,C+,3.51,3.3,Completed,Suspended
Samuel Nyambura,S35618309,Male,2022-10-05,Law,MATH250,Summer 2024,D+,3.4,3.35,Failed,Probation
Michael Odhiambo,S37950433,Male,2023-04-08,Law,ECON150,Spring 2024,B,1.8,2.58,Withdrawn,Suspended
Daniel Odhiambo,S38374676,Male,2018-11-14,Psychology,PSY201,Fall 2023,A,3.78,3.18,Completed,Probation
Jane Odhiambo,S14596189,Female,2023-07-30,Computer Science,ENGR301,Fall 2023,A,1.2,2.19,Withdrawn,Probation
Peter Mwangi,S12334430,Male,2020-05-04,Nursing,ECON150,Summer 2024,C+,2.62,2.41,Withdrawn,Good Standing
Michael Njeri,S50889983,Male,2020-02-18,Business Administration,ENGR301,Fall 2024,D+,2.43,2.42,Withdrawn,Good Standing
Peter Odhiambo,S58099863,Male,2023-06-24,Business Administration,BIO150,Fall 2023,C+,3.16,2.79,Failed,Good Standing
Luke Achieng,S49159949,Male,2020-10-27,Business Administration,CS101,Summer 2024,C+,3.48,3.13,Failed,Probation
Elizabeth Otieno,S38106033,Female,2022-06-12,Psychology,MATH250,Fall 2023,B,1.08,2.1,Completed,Suspended
Wangari Otieno,S59404137,Female,2024-11-24,Education,PSY201,Fall 2023,A,2.09,2.09,Failed,Probation
Samuel Kariuki,S86553729,Male,2021-12-10,Mechanical Engineering,BIO150,Summer 2024,A,1.24,1.67,Failed,Good Standing
Joseph Wambui,S28332008,Male,2024-09-11,Mechanical Engineering,CS101,Summer 2024,D,2.54,2.1,Failed,Good Standing
Daniel Kariuki,S66825776,Male,2022-11-07,Business Administration,MATH250,Fall 2024,C,2.98,2.54,Withdrawn,Good Standing
Mary Karanja,S71271131,Female,2018-04-06,Psychology,MATH250,Fall 2024,F,1.15,1.84,Completed,Suspended
Grace Nyambura,S39634527,Female,2018-03-02,Computer Science,ENGR301,Summer 2024,C,2.46,2.15,Failed,Suspended
Mary Otieno,S87715606,Female,2023-03-30,Psychology,MATH250,Spring 2024,F,3.52,2.83,Withdrawn,Suspended
Elizabeth Mwangi,S48384274,Female,2021-03-03,Mechanical Engineering,BIO150,Fall 2024,D+,1.09,1.96,Failed,Probation
Samuel Njeri,S94240868,Male,2020-03-09,Law,BIO150,Summer 2024,B,2.56,2.26,Withdrawn,Suspended
Emily Kariuki,S33126027,Female,2024-12-30,Nursing,ENGR301,Fall 2023,C,3.88,3.07,Failed,Good Standing
Samuel Wambui,S16355065,Male,2024-02-02,Psychology,LAW102,Fall 2023,F,1.21,2.14,Failed,Suspended
Alice Nyambura,S83768074,Female,2022-06-14,Nursing,CS101,Summer 2024,C+,3.89,3.02,Withdrawn,Good Standing
Peter Njeri,S49245018,Male,2019-06-26,Law,LAW102,Fall 2024,B,2.87,2.95,Withdrawn,Suspended
Jane Achieng,S55629052,Female,2022-05-08,Business Administration,LAW102,Fall 2023,B+,2.44,2.7,Failed,Suspended
Elizabeth Mwangi,S52603413,Female,2024-03-02,Education,MATH250,Fall 2024,F,2.74,2.72,Failed,Probation
Mary Odhiambo,S85017200,Female,2020-04-17,Mechanical Engineering,MATH250,Summer 2024,A,3.62,3.17,Completed,Probation
Esther Nyambura,S39113065,Female,2021-10-15,Psychology,CS101,Fall 2024,B,1.71,2.44,Withdrawn,Good Standing
Lucy Mwangi,S26128037,Female,2018-04-25,Mechanical Engineering,MATH250,Fall 2023,A,2.06,2.25,Withdrawn,Good Standing
Sarah Nyambura,S19678816,Female,2020-03-23,Computer Science,CS101,Spring 2024,B+,2.69,2.47,Withdrawn,Good Standing
Mary Achieng,S60812724,Female,2018-07-15,Law,ENGR301,Fall 2023,A,3.3,2.88,Completed,Good Standing
Samuel Mwangi,S23958987,Male,2018-09-20,Nursing,ENGR301,Fall 2024,D+,3.91,3.4,Withdrawn,Suspended
Richard Kariuki,S45375985,Male,2022-08-04,Education,CS101,Summer 2024,D,1.08,2.24,Failed,Probation
David Karanja,S85903200,Male,2019-10-09,Law,ENGR301,Summer 2024,B+,3.13,2.69,Completed,Good Standing
Grace Otieno,S58320144,Female,2024-01-18,Law,MATH250,Fall 2024,C+,2.33,2.51,Failed,Good Standing
Emily Kariuki,S28252468,Female,2019-03-07,Law,MATH250,Fall 2023,D,3.6,3.05,Completed,Suspended
Luke Otieno,S17414623,Male,2022-09-07,Nursing,MATH250,Spring 2024,F,3.88,3.46,Withdrawn,Good Standing
Luke Njeri,S81749427,Male,2022-10-19,Psychology,MATH250,Fall 2023,B,2.2,2.83,Completed,Suspended
Alice Wambui,S72066255,Female,2023-03-24,Psychology,MATH250,Fall 2024,A,3.77,3.3,Failed,Probation
